Rk,Tm,Player,College,Year
6.0,MIN,Jonny Flynn,Syracuse,2009
7.0,GSW,Stephen Curry,Davidson,2009
8.0,NYK,Jordan Hill,Arizona,2009
9.0,TOR,DeMar DeRozan,USC,2009
10.0,MIL,Brandon Jennings,,2009
11.0,NJN,Terrence Williams,Louisville,2009
12.0,CHA,Gerald Henderson,Duke,2009
13.0,IND,Tyler Hansbrough,UNC,2009
14.0,PHO,Earl Clark,Louisville,2009
15.0,DET,Austin Daye,Gonzaga,2009
16.0,CHI,James Johnson,Wake Forest,2009
17.0,PHI,Jrue Holiday,UCLA,2009
18.0,MIN,Ty Lawson,UNC,2009
19.0,ATL,Jeff Teague,Wake Forest,2009
20.0,UTA,Eric Maynor,VCU,2009
21.0,NOH,Darren Collison,UCLA,2009
22.0,POR,Victor Claver,,2009
23.0,SAC,Omri Casspi,,2009
24.0,DAL,Byron Mullens,Ohio State,2009
25.0,OKC,Rodrigue Beaubois,,2009
26.0,CHI,Taj Gibson,USC,2009
27.0,MEM,DeMarre Carroll,Missouri,2009
28.0,MIN,Wayne Ellington,UNC,2009
29.0,LAL,Toney Douglas,Florida State,2009
30.0,CLE,Christian Eyenga,,2009
31.0,SAC,Jeff Ayres,Arizona State,2009
32.0,WAS,Jermaine Taylor,Central Florida,2009
33.0,POR,Dante Cunningham,Villanova,2009
34.0,DEN,Sergio Llull,,2009
35.0,DET,DaJuan Summers,Georgetown,2009
36.0,MEM,Sam Young,Pitt,2009
37.0,SAS,DeJuan Blair,Pitt,2009
38.0,POR,Jon Brockman,Washington,2009
39.0,DET,Jonas Jerebko,,2009
40.0,CHA,Derrick Brown,Xavier,2009
41.0,MIL,Jodie Meeks,Kentucky,2009
42.0,LAL,Patrick Beverley,Arkansas,2009
43.0,MIA,Marcus Thornton,LSU,2009
44.0,DET,Chase Budinger,Arizona,2009
45.0,MIN,Nick Calathes,Florida,2009
46.0,CLE,Danny Green,UNC,2009
47.0,MIN,Henk Norel,,2009
48.0,PHO,Taylor Griffin,Oklahoma,2009
49.0,ATL,Sergiy Gladyr,,2009
50.0,UTA,Goran Suton,Michigan State,2009
51.0,SAS,Jack McClinton,Miami (FL),2009
52.0,IND,A.J. Price,UConn,2009
53.0,SAS,Nando De Colo,,2009
54.0,CHA,Robert Vaden,UAB,2009
55.0,POR,Patty Mills,Saint Mary's,2009
56.0,DAL,Ahmad Nivins,Saint Joseph's,2009
57.0,PHO,Emir Preldžić,,2009
58.0,BOS,Lester Hudson,University of Tennessee at Martin,2009
