Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
86,OG Anunoby,28,NYK,PF,12,12,31.1,5.8,12.3,.476,2.6,6.6,.392,3.3,5.7,.574,.582,1.6,2.1,.760,1.6,4.0,5.6,2.2,1.9,0.7,1.8,2.3,15.8,,anunoog01
87,Rui Hachimura,27,LAL,PF,13,13,34.6,6.1,10.5,.577,2.0,4.0,.500,4.1,6.5,.624,.672,1.7,2.3,.733,0.7,3.1,3.8,1.2,0.7,0.2,1.2,1.9,15.8,,hachiru01
88,Immanuel Quickley,26,TOR,PG,13,13,31.4,5.5,12.0,.462,2.3,6.2,.375,3.2,5.8,.553,.558,2.4,3.2,.756,0.6,3.7,4.3,6.2,1.2,0.0,1.7,2.2,15.8,,quickim01
89,Onyeka Okongwu,25,ATL,C,14,5,29.4,5.6,10.8,.517,1.7,4.4,.387,3.9,6.4,.607,.596,2.9,3.7,.769,1.8,6.1,7.9,2.5,0.9,1.1,1.6,3.5,15.7,,okongon01
90,Jarrett Allen,27,CLE,C,12,12,25.9,5.9,10.1,.587,0.0,0.3,.000,5.9,9.8,.607,.587,3.8,5.0,.750,2.4,5.3,7.8,1.8,1.2,0.9,1.6,1.5,15.6,,allenja01
91,Mikal Bridges,29,NYK,SF,12,12,34.8,5.8,12.0,.486,2.5,6.0,.417,3.3,6.0,.556,.590,1.4,1.7,.850,1.3,3.3,4.5,4.9,2.0,0.9,0.9,2.2,15.6,,bridgmi01
92,VJ Edgecombe,20,PHI,SG,12,12,37.3,5.8,14.1,.408,2.1,5.5,.379,3.7,8.6,.427,.482,2.0,2.6,.774,1.9,3.8,5.7,4.2,1.3,0.4,2.0,3.1,15.6,,edgecvj01
93,Cooper Flagg,19,DAL,PG,14,14,34.1,6.0,13.4,.447,1.1,3.9,.273,4.9,9.5,.519,.487,2.5,3.1,.795,1.1,5.6,6.7,3.2,1.4,0.8,2.3,2.4,15.6,,flaggco01
94,Jalen Green,23,PHO,SG,2,2,15.0,5.5,11.5,.478,3.0,7.0,.429,2.5,4.5,.556,.609,1.5,2.5,.600,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,15.5,,greenja05
95,Aaron Nesmith,26,IND,SF,11,11,30.5,4.9,13.4,.367,2.8,7.5,.373,2.1,5.8,.359,.473,2.8,3.5,.795,1.5,2.9,4.5,1.5,0.8,0.3,0.7,2.5,15.5,,nesmiaa01
96,Collin Sexton,27,CHO,SG,12,9,26.2,5.0,10.4,.480,1.6,3.7,.432,3.4,6.8,.506,.556,3.8,4.5,.852,0.3,2.1,2.3,5.0,0.8,0.0,3.0,2.4,15.4,,sextoco01
97,Matas Buzelis,21,CHI,PF,12,12,29.1,5.5,11.3,.485,1.8,4.6,.400,3.7,6.8,.543,.566,2.3,2.8,.848,1.2,4.6,5.8,1.2,0.8,1.1,2.0,3.4,15.2,,buzelma01
98,Nic Claxton,26,BRK,C,13,13,29.4,5.8,9.5,.610,0.0,0.5,.000,5.8,9.0,.641,.610,3.6,5.1,.712,2.8,4.2,7.0,3.9,0.8,1.4,1.3,2.7,15.2,,claxtni01
99,Ayo Dosunmu,26,CHI,SG,10,0,25.4,5.4,10.3,.524,1.9,4.1,.463,3.5,6.2,.565,.617,2.5,2.7,.926,0.3,2.1,2.4,3.2,0.7,0.1,1.3,1.8,15.2,,dosunay01
100,P.J. Washington,27,DAL,PF,13,13,31.2,5.5,12.2,.449,1.3,4.3,.304,4.2,7.8,.529,.503,2.9,4.5,.644,1.2,6.4,7.5,2.3,0.9,1.2,2.8,2.2,15.2,,washipj01
101,Isaiah Joe,26,OKC,SG,9,0,25.8,4.4,10.3,.430,3.3,8.2,.405,1.1,2.1,.526,.591,2.6,2.9,.885,0.7,2.7,3.3,1.3,0.8,0.1,1.1,2.0,14.8,,joeis01
102,Aaron Wiggins,27,OKC,SG,9,5,27.6,5.7,12.3,.459,2.8,6.7,.417,2.9,5.7,.510,.572,0.7,1.0,.667,1.0,2.7,3.7,2.2,0.4,0.8,1.0,2.2,14.8,,wiggiaa01
103,Jeremiah Fears,19,NOP,PG,13,11,26.5,5.6,12.8,.437,1.2,3.3,.349,4.5,9.5,.468,.482,2.2,2.7,.829,0.8,2.2,3.1,2.9,1.8,0.1,2.5,2.2,14.6,,fearsje01
104,Brandon Miller,23,CHO,SF,2,2,20.0,5.0,12.5,.400,1.0,5.5,.182,4.0,7.0,.571,.440,3.5,5.0,.700,0.0,0.0,0.0,4.0,0.5,0.5,1.5,2.5,14.5,,millebr02
105,Jabari Smith Jr.,22,HOU,PF,11,11,33.0,5.4,11.7,.457,2.0,5.4,.373,3.4,6.4,.529,.543,1.7,2.1,.826,1.2,5.2,6.4,1.6,0.8,0.8,1.0,2.7,14.5,,smithja05
106,Walker Kessler,24,UTA,C,5,5,30.8,5.2,7.4,.703,1.2,1.6,.750,4.0,5.8,.690,.784,2.8,4.0,.700,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,14.4,,kesslwa01
